"time (UTC)","pCO2 in water (ppm)","qc_pco2_water","pCO2 in air (ppm)","qc_pco2_air","O2 in water (%)","qc_o2_water","o2_air","O2 in air (%)"
"2023-08-15 03:00:00.000","292.96173","0","423.63705","0","20.589312","0","21.012589","0"
"2023-08-15 06:00:00.000","428.70242","0","426.95657","0","20.967758","0","21.028791","0"
"2023-08-15 09:00:00.000","470.66724","0","502.41983","0","20.74776","0","20.91862","0"
"2023-08-15 12:00:00.000","400.2624","0","516.9845","0","21.021206","0","20.878796","0"
"2023-08-15 15:00:00.000","435.01895","0","452.71017","0","21.238623","0","21.092587","0"
"2023-08-15 18:00:00.000","375.3521","0","416.58118","0","21.692755","0","21.154829","0"
"2023-08-15 21:00:00.000","533.7932","0","420.52692","0","21.149828","0","21.209654","0"
"2023-08-16 00:00:00.000","406.75223","0","416.1848","0","21.177933","0","20.943792","0"
"2023-08-16 03:00:00.000","241.92743","0","423.70728","0","22.929995","0","21.094482","0"
"2023-08-16 06:00:00.000","362.6","0","428.79224","0","22.756727","0","21.037584","0"
"2023-08-16 09:00:00.000","568.9278","0","445.9955","0","21.651379","0","20.970345","0"
"2023-08-16 12:00:00.000","416.3457","0","460.2119","0","21.574312","0","20.92138","0"
"2023-08-16 15:00:00.000","371.75497","0","461.95483","0","22.01155","0","21.11483","0"
"2023-08-16 18:00:00.000","372.53137","0","419.3619","0","21.567411","0","20.796896","0"
"2023-08-16 21:00:00.000","486.56967","0","418.77054","0","21.102758","0","20.823967","0"
"2023-08-17 00:00:00.000","587.2707","0","415.57758","0","20.123447","0","20.582415","0"
"2023-08-17 03:00:00.000","321.42294","0","420.09384","0","21.412067","0","20.75914","0"
"2023-08-17 06:00:00.000","406.8038","0","429.56705","0","21.33431","0","20.673277","0"
"2023-08-17 09:00:00.000","685.45654","0","425.12775","0","20.646896","0","21.130346","0"
"2023-08-17 12:00:00.000","252.87326","0","487.24466","0","21.775517","0","21.028275","0"
"2023-08-17 15:00:00.000","386.2421","0","474.41986","0","22.15724","0","21.291033","0"
"2023-08-17 18:00:00.000","423.59622","0","431.07086","0","22.063276","0","21.253107","0"
"2023-08-17 21:00:00.000","477.63333","0","428.06534","0","21.566553","0","21.20345","0"
"2023-08-18 00:00:00.000","572.75806","0","413.37534","0","20.609138","0","20.984482","0"
"2023-08-18 03:00:00.000","520.51416","0","418.93674","0","20.678276","0","21.14983","0"
"2023-08-18 06:00:00.000","576.8381","0","414.21378","0","20.31862","0","21.060173","0"
"2023-08-18 09:00:00.000","613.91345","0","430.48932","0","20.061724","0","21.269825","0"
"2023-08-18 12:00:00.000","526.6593","0","417.04742","0","20.17776","0","21.269999","0"
"2023-08-18 15:00:00.000","528.10443","0","413.8773","0","20.26914","0","21.335861","0"
"2023-08-18 18:00:00.000","432.80087","0","413.10812","0","20.943447","0","21.514656","0"
"2023-08-18 21:00:00.000","538.9384","0","411.2579","0","20.709139","0","21.483276","0"
"2023-08-19 00:00:00.000","564.515","0","409.16913","0","20.378107","0","21.377241","0"
"2023-08-19 03:00:00.000","501.439","0","412.96725","0","20.62121","0","21.472242","0"
"2023-08-19 06:00:00.000","538.8007","0","443.27515","0","20.503275","0","21.393103","0"
"2023-08-19 09:00:00.000","743.7693","0","442.7678","0","19.601894","0","21.330172","0"
"2023-08-19 12:00:00.000","643.034","0","462.84412","0","19.342756","0","21.265173","0"
"2023-08-19 15:00:00.000","373.88602","0","421.4381","0","20.303793","0","21.306898","0"
"2023-08-19 18:00:00.000","381.44055","0","410.1543","0","21.241726","0","21.563099","0"
"2023-08-19 21:00:00.000","483.36395","0","406.86633","0","21.071552","0","21.47224","0"
"2023-08-20 00:00:00.000","539.48346","0","406.8005","0","20.740688","0","21.420515","0"
"2023-08-20 03:00:00.000","489.61673","0","415.0355","0","20.99207","0","21.502071","0"
"2023-08-20 06:00:00.000","520.2","0","442.8607","0","20.764135","0","21.435518","0"
"2023-08-20 09:00:00.000","594.5441","0","459.28568","0","20.19276","0","21.25017","0"
"2023-08-20 12:00:00.000","650.20776","0","471.08572","0","19.695518","0","21.22793","0"
"2023-08-20 15:00:00.000","332.9036","0","435.0157","0","20.765688","0","21.271034","0"
"2023-08-20 18:00:00.000","289.92932","0","408.0202","0","22.034315","0","21.365002","0"
"2023-08-20 21:00:00.000","400.10394","0","410.54935","0","22.031212","0","21.397585","0"
"2023-08-21 00:00:00.000","568.7845","0","407.9612","0","21.049137","0","21.231552","0"
"2023-08-21 03:00:00.000","323.65778","0","417.82465","0","21.941032","0","21.336035","0"
"2023-08-21 06:00:00.000","383.53812","0","452.12274","0","21.981728","0","21.27431","0"
"2023-08-21 09:00:00.000","489.7555","0","420.7457","0","21.45552","0","21.319485","0"
"2023-08-21 12:00:00.000","640.5897","0","421.52707","0","20.565346","0","21.28138","0"
"2023-08-21 15:00:00.000","346.25623","0","420.76587","0","21.414137","0","21.373964","0"
"2023-08-21 18:00:00.000","362.30667","0","407.88016","0","21.937414","0","21.418446","0"
"2023-08-21 21:00:00.000","353.19226","0","404.6164","0","22.339136","0","21.437414","0"
"2023-08-22 00:00:00.000","628.8461","0","407.68237","0","21.167414","0","21.389656","0"
"2023-08-22 03:00:00.000","607.105","0","409.5007","0","20.603794","0","21.480001","0"
"2023-08-22 06:00:00.000","622.96045","0","412.39124","0","20.179136","0","21.458796","0"
"2023-08-22 09:00:00.000","537.7574","0","424.455","0","20.046206","0","21.312588","0"
"2023-08-22 12:00:00.000","634.5938","0","429.66364","0","19.769999","0","21.302414","0"
"2023-08-22 15:00:00.000","668.8867","0","422.07983","0","19.479313","0","21.330864","0"
"2023-08-22 18:00:00.000","383.62982","0","415.21915","0","20.64552","0","21.522415","0"
"2023-08-22 21:00:00.000","267.8964","0","411.5624","0","22.482069","0","21.534307","0"
"2023-08-23 00:00:00.000","597.5221","0","412.0307","0","21.432585","0","21.510004","0"
"2023-08-23 03:00:00.000","370.88324","0","414.40048","0","21.715347","0","21.473448","0"
"2023-08-23 06:00:00.000","549.2247","0","418.54742","0","21.227245","0","21.450518","0"
"2023-08-23 09:00:00.000","585.4833","0","427.0505","0","20.653446","0","21.373793","0"
"2023-08-23 12:00:00.000","643.60345","0","441.6922","0","20.140688","0","21.344482","0"
"2023-08-23 15:00:00.000","670.4075","0","435.44913","0","19.799826","0","21.467415","0"
"2023-08-23 18:00:00.000","445.77432","0","417.8338","0","20.39276","0","21.57155","0"
"2023-08-23 21:00:00.000","300.17755","0","411.3166","0","21.849483","0","21.532759","0"
"2023-08-24 00:00:00.000","501.6038","0","406.4402","0","21.361551","0","21.445518","0"
"2023-08-24 03:00:00.000","363.1455","0","410.42722","0","21.64931","0","21.475174","0"
